time,v_rl,v_rr,delta_fl,delta_fr
39.478541135787964,0.49373637352164235,0.506174198701344,0.03821413215385405,0.03720391090203368
39.49736762046814,0.49335494187889173,0.5063989884947467,0.04020899245948595,0.03909388510466183
39.51638889312744,0.49334310411869353,0.506328348971569,0.04014451227402294,0.03903312459053776
39.5338032245636,0.4933541658282147,0.506294951173943,0.040063067888216786,0.0389561843233972
39.549168825149536,0.49337238882463996,0.5062692098992937,0.04002254576082098,0.0389180460799583
39.56747317314148,0.49341717891391895,0.5062675942127642,0.03994292285900514,0.03884282363313485
39.586188554763794,0.49346783319222465,0.5062975583898743,0.039902900411524556,0.038804972398569504
39.60633897781372,0.4935373258509504,0.5063338413284916,0.0397827397270909,0.03869115513880672
39.62705326080322,0.49359719718285616,0.5063863853677935,0.03970201283497321,0.03861454539978304
39.64585089683533,0.4936464592615531,0.5064398683737841,0.039619697856155156,0.038536332263010564
39.6653265953064,0.4936783116757959,0.5064835640582434,0.039534394579733956,0.03845522003588897
39.68310856819153,0.49334259167725397,0.5068126747255616,0.04147126984271399,0.0402865012893896
39.70085263252258,0.49333203458195585,0.5068123928088325,0.04140603106999485,0.04022457903998333
39.720175981521606,0.49331094500741035,0.5068032353855292,0.04140602919506531,0.0402244656898878
39.73910593986511,0.4932717974982139,0.5067431351249089,0.041319406374265455,0.04014253578437188
39.75559711456299,0.4932298190256711,0.5066581921097072,0.04122876705254619,0.04005702660113819
39.77562403678894,0.49321169318615915,0.5065544368622069,0.04108823127744188,0.039924418844438314
39.79488277435303,0.49320333483275636,0.50647124948801,0.040995460724911226,0.03983698776627076
39.814671993255615,0.49321064546402327,0.5064202125106003,0.04094955228536534,0.03979383128730518
39.83286905288696,0.49323493049400496,0.5063964870026807,0.04085957821836583,0.039708888500700645
39.8523473739624,0.4932660119781149,0.5063986033105449,0.04085958099306897,0.03970902378262409
39.868664026260376,0.49334166346864977,0.5064019863564554,0.04068086447711394,0.039540112799143934
39.88572382926941,0.49304469702277176,0.5067458010466687,0.04266763114087446,0.04141587617059184
39.90538716316223,0.4931149481039333,0.506815146861522,0.04263107173769143,0.0413812168823009
39.92569446563721,0.4931674561798143,0.5068747853737451,0.04255309884677505,0.04130741027418683
39.945857763290405,0.4932067638332628,0.5069185856343437,0.04243035541508977,0.041191306907847114
39.963948249816895,0.4932005078959916,0.5069609944876121,0.04243035479945423,0.04119094888300001
39.98514485359192,0.4931857877137196,0.506961665475566,0.042343760706115674,0.04110895842657758
40.00643849372864,0.49315439580207193,0.506926559180682,0.04225118885414947,0.04102142980100165
40.02537250518799,0.49311092635240494,0.5068687534402662,0.04210314203883758,0.040881803080414336
40.04453921318054,0.49308122273434934,0.5067946625847148,0.04200022441925899,0.040785135734239475
40.06458139419556,0.49308250298841483,0.5067001541254965,0.041892238602899035,0.04068369707223152
40.082932233810425,0.4930827172343181,0.5066605353852504,0.041892238218978584,0.04068386952092329
40.103498220443726,0.49276486304149536,0.5068898856787345,0.04386846707465608,0.04254705965559058
40.12415957450867,0.49280867249486365,0.5068733945385206,0.04378136470645355,0.042465175350145934
40.142866373062134,0.4928628384687024,0.5068833750182036,0.04369611353268876,0.042384935794422596
40.16056513786316,0.4929277718855043,0.5069075710048713,0.04356958995647009,0.042265721526893785
40.179182052612305,0.4929738414742258,0.5069576259632442,0.04352702916358009,0.04222547059518078
40.197009563446045,0.49298953795142053,0.5069883161079004,0.04352703079756903,0.04222535491015478
40.21500873565674,0.4930236468822189,0.5070359258070335,0.04344117215834409,0.042144202016640264
40.23139953613281,0.49303868634141507,0.5070729841811188,0.043350906114496546,0.042058847756729634
40.24857234954834,0.49303121619182294,0.5070870791976163,0.04325629329414671,0.041969396806390336
40.268359422683716,0.4929923705214116,0.5070924049634149,0.04310424852510231,0.04182613109411726
40.28695368766785,0.49261378696277913,0.5073970726704186,0.04518585016864396,0.04378475496041556
40.30643272399902,0.49259394515540983,0.5073441036950135,0.045105260052004326,0.0437095220031507
40.32603454589844,0.492587337217666,0.507256446111079,0.04505433450445917,0.04366191143810916
40.34544396400452,0.4925775898398999,0.5071724785957304,0.04500296409109783,0.04361376341716028
40.36291170120239,0.4925904991701447,0.5071262865386736,0.04490069773768468,0.04351771755207423
40.37891960144043,0.492621143813375,0.5070559593628999,0.04475084870923407,0.04337700245406051
40.39674615859985,0.4926505701938516,0.5070235859608978,0.04470165874715537,0.04333087787960821
40.41806983947754,0.4927095252313726,0.5070033395075334,0.04455863080122224,0.04319643490980596
40.43634271621704,0.4927564009207564,0.5070192970002085,0.04451088180081442,0.043151503499473165
40.45465111732483,0.4928017733394089,0.507053401941805,0.04446402933819815,0.043107326177393546
40.47376251220703,0.49248345863829873,0.5074152324480918,0.04652680587922209,0.04504468733019795
40.49189281463623,0.4925162535723876,0.5074680699103882,0.04646235501581408,0.044983969038594473
40.51059412956238,0.4925257249973896,0.5074895719699203,0.04641974028885354,0.04494384582459343
40.529356241226196,0.4925214065747432,0.5075277370508025,0.0463762710601916,0.04490276483098565
40.54808473587036,0.492507727091099,0.5075381832170343,0.04628496871132182,0.044816831193659645
40.56587862968445,0.49248442265615994,0.5075210016427546,0.04618762784122055,0.04472529691288951
40.58410406112671,0.492442860552874,0.5074979480276951,0.04608447387348846,0.04462853852549031
40.60343551635742,0.4924401636787563,0.5074704335940994,0.04597614947516604,0.04452702444443002
40.619959115982056,0.4924402612673426,0.5073978087318539,0.0458629539433959,0.044421300319456236
40.63737368583679,0.49246831543772007,0.5073185514614865,0.04574529979124353,0.04431128653378291
