front_left_steering,front_right_steering
-2.1341961975451795e-08,-5.447760731414064e-08
-2.134197885084177e-08,-5.447755313525704e-08
-2.1341998390767003e-08,-5.447749895637344e-08
-2.1342017042513817e-08,-5.4477444777489836e-08
-2.134203569426063e-08,-5.4477390598606235e-08
-2.1342053457829024e-08,-5.447733553154421e-08
-2.1342072109575838e-08,-5.447728135266061e-08
-2.1342089873144232e-08,-5.447722717377701e-08
-2.1342108524891046e-08,-5.447717299489341e-08
-2.134212628845944e-08,-5.4477118816009806e-08
-2.1342146716563093e-08,-5.4477063748947785e-08
-2.1342164480131487e-08,-5.447700957006418e-08
-2.13421831318783e-08,-5.447695539118058e-08
-2.1342200007268275e-08,-5.447690032411856e-08
-2.1342220435371928e-08,-5.447684703341338e-08
-2.1342238198940322e-08,-5.4476791966351357e-08
-2.1342256850687136e-08,-5.4476737787467755e-08
-2.134227372607711e-08,-5.447668360858415e-08
-2.1342292377823924e-08,-5.447662942970055e-08
-2.1342311029570737e-08,-5.447657525081695e-08
-2.134233145767439e-08,-5.447652018375493e-08
-2.1342349221242785e-08,-5.447646600487133e-08
-2.134236609663276e-08,-5.4476411825987725e-08
-2.1342385636557992e-08,-5.4476356758925704e-08
-2.1342404288304806e-08,-5.44763025800421e-08
-2.134242294005162e-08,-5.44762484011585e-08
-2.1342441591798433e-08,-5.44761942222749e-08
-2.1342459355366827e-08,-5.447613915521288e-08
-2.134247800711364e-08,-5.4476084976329275e-08
-2.1342495770682035e-08,-5.4476030797445674e-08
-2.134251442242885e-08,-5.447597661856207e-08
-2.1342532185997243e-08,-5.447592243967847e-08
-2.1342552614100896e-08,-5.447586737261645e-08
-2.134256948949087e-08,-5.447581319373285e-08
-2.1342587253059264e-08,-5.4475759014849245e-08
-2.1342607681162917e-08,-5.4475704835965644e-08
-2.134262455655289e-08,-5.447565065708204e-08
-2.1342643208299705e-08,-5.447559559002002e-08
-2.134266186004652e-08,-5.447554141113642e-08
-2.1342681399971752e-08,-5.447548723225282e-08
-2.1342699163540146e-08,-5.4475433053369215e-08
-2.134271870346538e-08,-5.4475377986307194e-08
-2.1342734690676934e-08,-5.447532380742359e-08
-2.1342753342423748e-08,-5.447526962853999e-08
-2.134277288234898e-08,-5.447521544965639e-08
